loss_val, pre_val, rec_val, acc_val, epoch, ece_val, f1_val, lr_rate, weight_decay, class_weight
1.1685365438461304,0.4482758620689655,0.3666666666666667,0.36666666666666664,42,0.3242308507363001,0.23154623154623155,0.1,0.01,[1. 1. 1.]
0.9525629878044128,0.8225108225108224,0.75,0.75,47,0.1532275418440501,0.7441241647564287,0.1,0.01,[1. 3. 3.]
0.9347622990608215,0.7934904601571269,0.5833333333333334,0.5833333333333334,61,0.1834419702490171,0.53116362631288,0.1,0.01,[1. 5. 5.]
0.9280092120170593,0.7573412698412697,0.625,0.625,49,0.247955263654391,0.5272005772005771,0.1,0.01,[ 1.  5. 10.]
0.8749790191650391,0.7682252235883148,0.6333333333333333,0.6333333333333333,66,0.16525927409529684,0.6261783007352749,0.1,0.001,[1. 1. 1.]
0.7418155074119568,0.8941708093493808,0.8833333333333333,0.8833333333333333,49,0.16303146729866666,0.8820211549908606,0.1,0.001,[1. 3. 3.]
0.7578582167625427,0.8743386243386243,0.8416666666666667,0.8416666666666667,44,0.14729763617118202,0.8407292741658067,0.1,0.001,[1. 5. 5.]
0.7885863184928894,0.8392255892255892,0.7999999999999999,0.8,45,0.1092306469877561,0.7909326622435752,0.1,0.001,[ 1.  5. 10.]
0.6819837689399719,0.8791524608794475,0.8666666666666667,0.8666666666666667,161,0.19134077529112495,0.8658652250201545,0.1,0.0001,[1. 1. 1.]
0.6718975305557251,0.9135531135531135,0.8916666666666666,0.8916666666666667,90,0.1443633129199346,0.893447157699689,0.1,0.0001,[1. 3. 3.]
0.7198334336280823,0.8995670995670996,0.8666666666666667,0.8666666666666667,67,0.13640472690264382,0.8686382623224729,0.1,0.0001,[1. 5. 5.]
0.7685455083847046,0.875,0.85,0.85,66,0.1414181336760521,0.8409090909090908,0.1,0.0001,[ 1.  5. 10.]
0.6539782881736755,0.9049247606019152,0.9,0.9,301,0.16382122337818147,0.8997069358515141,0.1,1e-05,[1. 1. 1.]
0.6979773044586182,0.9188453159041394,0.9,0.9,155,0.1434320092201233,0.9014276999136408,0.1,1e-05,[1. 3. 3.]
0.7629691958427429,0.8785337061199131,0.8333333333333334,0.8333333333333334,164,0.11479510913292568,0.8315494029779744,0.1,1e-05,[1. 5. 5.]
0.8249737024307251,0.8407362945178072,0.7999999999999999,0.8,199,0.1074266269803047,0.7855839541232799,0.1,1e-05,[ 1.  5. 10.]
1.0755424499511719,0.33918128654970764,0.3666666666666667,0.36666666666666664,42,0.2373023271560669,0.23113118765292676,0.01,0.01,[1. 1. 1.]
0.9552937150001526,0.8148982080870626,0.7333333333333334,0.7333333333333333,471,0.13890954653422039,0.7242760134951141,0.01,0.01,[1. 3. 3.]
0.9359732270240784,0.7917880427243723,0.5750000000000001,0.575,172,0.20934940775235494,0.5160806257647632,0.01,0.01,[1. 5. 5.]
0.9289926886558533,0.7573412698412697,0.625,0.625,245,0.25536176065603894,0.5272005772005771,0.01,0.01,[ 1.  5. 10.]
0.874970555305481,0.752143075224876,0.6,0.6,204,0.2007778286933899,0.5875753731236903,0.01,0.001,[1. 1. 1.]
