epoch, iter, loss_train, loss_val, pre_val, rec_val, f01_val, f1_val, f10_val, ece_val
0, 0, 1.5997422890365125, 1.6182271242141724, 0.07361111111111111, 0.2, 0.07265947265947266, 0.07777777777777779, 0.19304304876252587, 0.3395562493801117
1, 0, 1.613709933757782, 1.610594391822815, 0.0505050505050505, 0.18, 0.050735908206634206, 0.07253086419753087, 0.17438155232081334, 0.34559821923573814
2, 0, 1.6167426303029062, 1.6107548475265503, 0.06161971830985915, 0.18, 0.061245290367372515, 0.07099143206854346, 0.17387010408060996, 0.3420246505737305
3, 0, 1.5931326078623533, 1.6132335662841797, 0.04, 0.2, 0.040319361277445114, 0.06666666666666668, 0.1923809523809524, 0.3462103633085886
4, 0, 1.655741301253438, 1.617917537689209, 0.04, 0.2, 0.040319361277445114, 0.06666666666666668, 0.1923809523809524, 0.35915257453918453
5, 0, 1.6253576317429543, 1.6126482486724854, 0.04, 0.2, 0.040319361277445114, 0.06666666666666668, 0.1923809523809524, 0.34907848556836446
6, 0, 1.6261725082248448, 1.611547827720642, 0.04, 0.2, 0.040319361277445114, 0.06666666666666668, 0.1923809523809524, 0.34077755610148114
7, 0, 1.6230588342249392, 1.6102491617202759, 0.04, 0.2, 0.040319361277445114, 0.06666666666666668, 0.1923809523809524, 0.3317839924494425
8, 0, 1.6260036370158195, 1.6116864681243896, 0.04, 0.2, 0.040319361277445114, 0.06666666666666668, 0.1923809523809524, 0.3419932607809702
9, 0, 1.6130753803253175, 1.6105639934539795, 0.04, 0.2, 0.040319361277445114, 0.06666666666666668, 0.1923809523809524, 0.3369810243447621
10, 0, 1.6174069873243573, 1.6099128723144531, 0.04, 0.2, 0.040319361277445114, 0.06666666666666668, 0.1923809523809524, 0.3320956134796142
11, 0, 1.622846334949136, 1.6107292175292969, 0.04, 0.2, 0.040319361277445114, 0.06666666666666668, 0.1923809523809524, 0.3386061882972717
12, 0, 1.6100791482627392, 1.613654613494873, 0.04, 0.2, 0.040319361277445114, 0.06666666666666668, 0.1923809523809524, 0.33647454023361206
13, 0, 1.609360416382551, 1.6122173070907593, 0.11443661971830985, 0.2066666666666667, 0.11275906154484416, 0.09669522643818848, 0.20015900734049324, 0.32105635603268945
14, 0, 1.6258659365028145, 1.6100826263427734, 0.04, 0.2, 0.040319361277445114, 0.06666666666666668, 0.1923809523809524, 0.3291901989777883
15, 0, 1.6282586177438498, 1.6107949018478394, 0.04, 0.2, 0.040319361277445114, 0.06666666666666668, 0.1923809523809524, 0.33020580530166627
