loss_val, pre_val, rec_val, acc_val, epoch, ece_val, f1_val, lr_rate, weight_decay, class_weight
0.6077275276184082,0.7017241379310345,0.7796934865900383,0.712,62,0.16432748067379,0.7386569872958259,0.1,0.01,[1. 1.]
0.5655220150947571,0.7132486388384754,0.7528735632183908,0.713,67,0.09337885342538356,0.7325256290773532,0.1,0.001,[1. 1.]
0.7185618877410889,0.6971428571428572,0.7011494252873564,0.685,66,0.041244037274271256,0.6991404011461319,0.1,0.0001,[1. 1.]
1.1008127927780151,0.6773584905660377,0.6877394636015326,0.666,42,0.1327684300430119,0.6825095057034221,0.1,1e-05,[1. 1.]
0.6075047254562378,0.7065972222222222,0.7796934865900383,0.716,60,0.17010152430832381,0.7413479052823315,0.01,0.01,[1. 1.]
0.5659881830215454,0.7127272727272728,0.7509578544061303,0.712,132,0.09136508602648971,0.7313432835820896,0.01,0.001,[1. 1.]
0.6020906567573547,0.6925925925925925,0.7164750957854407,0.686,42,0.0662122980058193,0.704331450094162,0.01,0.0001,[1. 1.]
0.6035121083259583,0.6904761904761905,0.7222222222222222,0.686,42,0.0637200724557042,0.7059925093632959,0.01,1e-05,[1. 1.]
0.6067697405815125,0.705574912891986,0.7758620689655172,0.714,43,0.1668692930042744,0.7390510948905109,0.05,0.01,[1. 1.]
0.5656718611717224,0.7135036496350365,0.7490421455938697,0.712,52,0.0906937720030546,0.7308411214953271,0.05,0.001,[1. 1.]
0.7258751392364502,0.6965648854961832,0.6992337164750958,0.684,99,0.04327312770485877,0.6978967495219884,0.05,0.0001,[1. 1.]
0.8521791100502014,0.6944971537001897,0.7011494252873564,0.683,42,0.08226705044135449,0.6978074356530028,0.05,1e-05,[1. 1.]
0.6100525259971619,0.697754749568221,0.7739463601532567,0.707,471,0.16375885748863223,0.7338782924613987,0.001,0.01,[1. 1.]
0.5791419744491577,0.7056672760511883,0.7394636015325671,0.703,471,0.11228804273903367,0.7221702525724977,0.001,0.001,[1. 1.]
0.5969620943069458,0.6928702010968921,0.7260536398467433,0.689,345,0.09799501454830171,0.7090739008419084,0.001,0.0001,[1. 1.]
0.5989649891853333,0.6892138939670932,0.7222222222222222,0.685,319,0.09508864217996599,0.7053320860617399,0.001,1e-05,[1. 1.]
