loss_val, pre_val, rec_val, acc_val, epoch, ece_val, f1_val, lr_rate, weight_decay, class_weight
0.5580730438232422,0.6974885844748858,1.0,0.735,42,0.1876731768846512,0.8217888365837257,0.1,0.01,[1. 1.]
0.5715463161468506,0.9865470852017937,0.7201309328968903,0.823,42,0.2808917098641396,0.8325449385052034,0.1,0.01,[2. 1.]
0.3183758556842804,0.9373040752351097,0.9787234042553191,0.947,471,0.29905920374393463,0.9575660528422739,0.1,0.001,[1. 1.]
0.29995355010032654,0.9759036144578314,0.9279869067103109,0.942,125,0.2832532203793525,0.9513422818791947,0.1,0.001,[2. 1.]
0.18798179924488068,0.9579288025889967,0.9689034369885434,0.955,370,0.18783860364556312,0.9633848657445078,0.1,0.0001,[1. 1.]
0.18097224831581116,0.9731993299832495,0.9509001636661211,0.954,348,0.17655259979516266,0.9619205298013245,0.1,0.0001,[2. 1.]
0.16801564395427704,0.9484702093397746,0.9639934533551555,0.946,471,0.11920331426337362,0.9561688311688312,0.1,1e-05,[1. 1.]
0.1679372638463974,0.9605263157894737,0.955810147299509,0.949,471,0.11231296902149916,0.9581624282198523,0.1,1e-05,[2. 1.]
0.5579909086227417,0.6896162528216704,1.0,0.725,266,0.17120612508058553,0.8162992651970609,0.01,0.01,[1. 1.]
0.5719905495643616,0.9885321100917431,0.7054009819967266,0.815,323,0.2727180898189545,0.8233046800382043,0.01,0.01,[2. 1.]
0.33455929160118103,0.9215384615384615,0.9803600654664485,0.937,471,0.2973690925836563,0.950039651070579,0.01,0.001,[1. 1.]
0.32202664017677307,0.9744027303754266,0.9345335515548282,0.945,471,0.3001218505799771,0.9540517961570593,0.01,0.001,[2. 1.]
0.23544277250766754,0.9148606811145511,0.967266775777414,0.925,471,0.2070205329284072,0.9403341288782816,0.01,0.0001,[1. 1.]
0.23312008380889893,0.9476268412438625,0.9476268412438625,0.936,471,0.20554908174276354,0.9476268412438625,0.01,0.0001,[2. 1.]
0.2530320882797241,0.8848484848484849,0.955810147299509,0.897,471,0.1710530281290412,0.918961447678993,0.01,1e-05,[1. 1.]
0.25686249136924744,0.9148264984227129,0.9492635024549918,0.915,471,0.17368596377968787,0.9317269076305221,0.01,1e-05,[2. 1.]
0.5776500105857849,0.6641304347826087,1.0,0.691,471,0.14337767904996873,0.798171129980405,0.001,0.01,[1. 1.]
0.6071687340736389,0.9848484848484849,0.5319148936170213,0.709,471,0.17331816372275355,0.6907545164718385,0.001,0.01,[2. 1.]
0.44382426142692566,0.8506401137980085,0.9787234042553191,0.882,471,0.2912095656692981,0.9101978691019786,0.001,0.001,[1. 1.]
0.4490948021411896,0.9493891797556719,0.8903436988543372,0.904,471,0.3185665716826916,0.918918918918919,0.001,0.001,[2. 1.]
0.40498897433280945,0.8477011494252874,0.9656301145662848,0.873,471,0.2562918903529644,0.9028309104820199,0.001,0.0001,[1. 1.]
0.41328495740890503,0.925,0.9083469721767594,0.899,471,0.28946107456088066,0.9165978530140381,0.001,0.0001,[2. 1.]
0.4062787890434265,0.8489208633093526,0.9656301145662848,0.874,471,0.2549827145934105,0.9035222052067381,0.001,1e-05,[1. 1.]
0.4209081530570984,0.9162393162393162,0.8772504091653028,0.876,471,0.26654743909835815,0.8963210702341137,0.001,1e-05,[2. 1.]
