loss_val, pre_val, rec_val, acc_val, epoch, ece_val, f1_val, lr_rate, weight_decay, class_weight
1.5695085525512695,0.30240454076367385,0.248,0.248,42,0.29949967288970947,0.16108587214353348,0.1,0.01,[1. 2. 3. 5. 9.]
1.6101242303848267,0.04,0.2,0.2,43,0.4283625843524933,0.06666666666666668,0.1,0.01,[ 1.  4.  4.  7. 13.]
1.627590537071228,0.0393574297188755,0.196,0.196,53,0.4386864900588989,0.06555183946488294,0.1,0.01,[ 1.  5.  5. 10. 15.]
1.3647898435592651,0.525218157306125,0.5039999999999999,0.504,61,0.14461594605445866,0.4998162261012258,0.1,0.001,[1. 2. 3. 5. 9.]
1.4106758832931519,0.5783339972404555,0.356,0.356,62,0.2713668825626373,0.3247745047458446,0.1,0.001,[ 1.  4.  4.  7. 13.]
1.4325716495513916,0.4330996131528046,0.35200000000000004,0.352,68,0.29451831340789797,0.29868412566742414,0.1,0.001,[ 1.  5.  5. 10. 15.]
1.1347084045410156,0.5688492063492063,0.552,0.552,81,0.21293015146255495,0.5504554140909138,0.1,0.0001,[1. 2. 3. 5. 9.]
1.1659437417984009,0.5753723938071558,0.5279999999999999,0.528,99,0.20408802580833432,0.5252450818541518,0.1,0.0001,[ 1.  4.  4.  7. 13.]
1.1799404621124268,0.5964709558967147,0.532,0.532,107,0.21992039418220521,0.5265383319612027,0.1,0.0001,[ 1.  5.  5. 10. 15.]
1.2839750051498413,0.5794565851106178,0.5319999999999999,0.532,182,0.34187690567970275,0.5317714042353787,0.1,1e-05,[1. 2. 3. 5. 9.]
1.2899529933929443,0.5832386453939729,0.536,0.536,163,0.28759252524375917,0.5340858763877632,0.1,1e-05,[ 1.  4.  4.  7. 13.]
1.2859811782836914,0.5884864903828826,0.5439999999999999,0.544,210,0.30341600394248963,0.538293567354447,0.1,1e-05,[ 1.  5.  5. 10. 15.]
1.572265863418579,0.29137931034482756,0.244,0.244,481,0.30368443512916565,0.14850468680255915,0.01,0.01,[1. 2. 3. 5. 9.]
1.605491280555725,0.04,0.2,0.2,42,0.389126151561737,0.06666666666666668,0.01,0.01,[ 1.  4.  4.  7. 13.]
1.6129169464111328,0.13951612903225805,0.2,0.2,42,0.39729833722114566,0.07346411977284459,0.01,0.01,[ 1.  5.  5. 10. 15.]
1.3689640760421753,0.517419102627539,0.4959999999999999,0.496,393,0.16018261790275573,0.49224408976310857,0.01,0.001,[1. 2. 3. 5. 9.]
1.4149680137634277,0.585299319613936,0.364,0.364,346,0.2568418093919754,0.33502194880677194,0.01,0.001,[ 1.  4.  4.  7. 13.]
1.4359785318374634,0.4372108843537415,0.34400000000000003,0.344,372,0.3009753477573395,0.2908053991239832,0.01,0.001,[ 1.  5.  5. 10. 15.]
1.1456036567687988,0.5768765779015375,0.552,0.552,481,0.19026830995082858,0.5526829215070694,0.01,0.0001,[1. 2. 3. 5. 9.]
1.1772218942642212,0.5896352137027272,0.5319999999999999,0.532,481,0.17740216326713562,0.5309137113518498,0.01,0.0001,[ 1.  4.  4.  7. 13.]
1.1922212839126587,0.6034391534391534,0.5359999999999999,0.536,481,0.18888102555274963,0.5303687462190488,0.01,0.0001,[ 1.  5.  5. 10. 15.]
1.2495588064193726,0.5105572908104554,0.484,0.484,88,0.21749492871761322,0.4796106737889111,0.01,1e-05,[1. 2. 3. 5. 9.]
1.2675268650054932,0.5235778765711991,0.48,0.48,107,0.21090395474433898,0.4744933957742149,0.01,1e-05,[ 1.  4.  4.  7. 13.]
1.2715156078338623,0.5297662287649771,0.4879999999999999,0.488,117,0.22010443544387817,0.4813046093169772,0.01,1e-05,[ 1.  5.  5. 10. 15.]
1.576974868774414,0.265,0.21600000000000003,0.216,180,0.3183103401660919,0.1083819628647215,0.001,0.01,[1. 2. 3. 5. 9.]
1.584940791130066,0.04,0.2,0.2,83,0.3314962863922119,0.06666666666666668,0.001,0.01,[ 1.  4.  4.  7. 13.]
1.586979866027832,0.14645816314622478,0.268,0.268,79,0.265246636390686,0.16335016335016336,0.001,0.01,[ 1.  5.  5. 10. 15.]
1.4326577186584473,0.5314025714025714,0.4600000000000001,0.46,481,0.16118382692337035,0.45308237656063743,0.001,0.001,[1. 2. 3. 5. 9.]
1.4684046506881714,0.6159573070607554,0.332,0.332,481,0.2547649768590927,0.2852486732045662,0.001,0.001,[ 1.  4.  4.  7. 13.]
1.4820917844772339,0.4811022787493376,0.332,0.332,481,0.2740998930931091,0.2610516156950565,0.001,0.001,[ 1.  5.  5. 10. 15.]
1.2988871335983276,0.5526599326599327,0.5199999999999999,0.52,481,0.11596285176277159,0.5152714167141286,0.001,0.0001,[1. 2. 3. 5. 9.]
1.332819938659668,0.5521962095875139,0.44400000000000006,0.444,481,0.17621515083312989,0.4318846286769782,0.001,0.0001,[ 1.  4.  4.  7. 13.]
1.3485702276229858,0.5451582098244682,0.43200000000000005,0.432,481,0.21323938500881193,0.40626386118486624,0.001,0.0001,[ 1.  5.  5. 10. 15.]
1.2753138542175293,0.5071833542801285,0.484,0.484,481,0.1508541386127472,0.4814011347028039,0.001,1e-05,[1. 2. 3. 5. 9.]
1.3035030364990234,0.4887926267281106,0.42799999999999994,0.428,481,0.20311578714847564,0.4172021339757472,0.001,1e-05,[ 1.  4.  4.  7. 13.]
1.3149315118789673,0.5223605600763797,0.44399999999999995,0.444,481,0.2019305353164673,0.43322111159219273,0.001,1e-05,[ 1.  5.  5. 10. 15.]
